datetime,student,room,activity
2024-03-10 14:14:32,xlezna,Q35,řádné přihlášení
2024-03-10 15:23:51,xlezna,Q35,odhlášení
2024-02-21 18:48:46,xlezna,Q36,řádné přihlášení
2024-02-21 21:01:17,xlezna,Q36,odhlášení
2024-03-04 14:12:36,xvavrine,Q42,řádné přihlášení
2024-03-04 15:49:38,xvavrine,Q42,odhlášení
2024-03-20 08:11:09,xmarek7,Q38,řádné přihlášení
2024-03-20 10:39:54,xmarek7,Q38,odhlášení
2024-03-16 14:34:07,xskacel,Q22,zadáno špatné heslo
2024-03-16 14:34:07,xskacel,Q22,řádné přihlášení
2024-03-16 15:34:46,xskacel,Q22,odhlášení
2024-03-08 12:38:49,xmarek7,Q45,řádné přihlášení
2024-03-08 14:37:17,xmarek7,Q45,odhlášení
2024-03-17 14:52:24,xklima6,Q21,řádné přihlášení
2024-03-17 15:42:21,xklima6,Q21,odhlášení
2024-03-21 16:31:26,xalac,Q43,řádné přihlášení
2024-03-21 17:34:19,xalac,Q43,odhlášení
2024-02-28 16:12:14,xsultan1,Q27,řádné přihlášení
2024-02-28 16:36:05,xsultan1,Q27,odhlášení
2024-03-25 13:12:04,xprokop1,Q16,řádné přihlášení
2024-03-25 13:55:09,xprokop1,Q16,odhlášení
2024-03-21 07:01:48,xulc,Q35,řádné přihlášení
2024-03-21 09:10:58,xulc,Q35,odhlášení
2024-03-21 12:12:54,xriedl,Q04,řádné přihlášení
2024-03-21 12:34:33,xriedl,Q04,odhlášení
2024-03-22 14:07:48,xkaderk2,Q46,řádné přihlášení
2024-03-22 15:57:33,xkaderk2,Q46,odhlášení
2024-03-17 18:48:22,xtravni7,Q35,řádné přihlášení
2024-03-17 19:18:16,xtravni7,Q35,odhlášení
2024-02-27 18:20:53,xklekner,Q08,řádné přihlášení
2024-02-27 18:48:48,xklekner,Q08,odhlášení
2024-03-14 15:42:25,xkoudelk,Q33,řádné přihlášení
2024-03-14 18:11:05,xkoudelk,Q33,odhlášení
2024-03-21 13:59:31,xhoracek,Q02,řádné přihlášení
2024-03-21 16:11:41,xhoracek,Q02,odhlášení
2024-02-28 11:56:32,xbudiko2,Q32,řádné přihlášení
2024-02-28 12:04:28,xbudiko2,Q32,odhlášení
2024-02-25 09:58:29,xtravni7,Q21,terminál
2024-02-25 09:58:29,xtravni7,Q21,řádné přihlášení
